Subject,Round,Phase,afterbreak,Schema,Schema_RT,Schema_OB,Schema_AS,Cho_1,Cho_2,Cho_3,Cho_4,RT_1,RT_2,RT_3,RT_4,OB_1,OB_2,OB_3,OB_4,AS_1,AS_2,AS_3,AS_4,schema_payoff,AC,performance,breakR,type,dwellmean_1,dwellmean_2,dwellmean_3,dwellmean_4
1,1,1,0,8,1.0600000000000007,2,13,109,12,10,118,2.1700000000000017,2.809999999999984,0.3300000000000001,0.07,4,4,2,1,23,25,3,1,2,0,16,7,Lc,0.09434782608695652,0.11240000000000001,0.10999999999999999,0.07
1,1,2,0,9,0.7600000000000005,2,9,72,106,23,61,1.8100000000000012,2.199999999999997,0.3300000000000001,0.09,4,6,2,2,17,31,4,3,4,0,16,7,Lc,0.10647058823529412,0.07096774193548387,0.08249999999999999,0.03
1,2,3,0,6,1.1400000000000008,2,16,53,102,17,28,1.630000000000001,3.289999999999974,0.3100000000000001,0.3000000000000001,4,3,2,3,23,36,3,4,4,0,17,7,Lc,0.07086956521739131,0.0913888888888889,0.10333333333333333,0.075
1,2,4,0,8,0.7500000000000004,2,8,5,120,65,64,3.1499999999999932,0.20000000000000004,0.4000000000000002,0.2800000000000001,5,1,3,2,34,1,5,4,2,0,16,7,Lc,0.09264705882352942,0.20000000000000004,0.08000000000000002,0.07
1,3,5,0,8,1.1800000000000008,3,13,110,6,64,27,2.0900000000000016,0.45000000000000023,0.6700000000000004,1.0700000000000007,5,3,2,2,23,5,6,13,2,0,17,7,Lc,0.09086956521739131,0.09000000000000002,0.11166666666666669,0.0823076923076923
1,3,6,0,2,0.6800000000000004,2,8,80,84,79,24,2.5100000000000016,0.2900000000000001,1.400000000000001,1.5100000000000011,6,2,5,13,25,4,13,18,3,0.5,24,7,Lc,0.10040000000000002,0.0725,0.10769230769230771,0.0838888888888889
1,4,7,0,6,1.0200000000000007,2,13,55,54,52,7,2.4700000000000015,0.35000000000000014,0.22000000000000006,1.270000000000001,4,2,1,6,29,3,1,8,4,0.5,30,7,Lc,0.08517241379310346,0.11666666666666667,0.22000000000000006,0.15875000000000003
1,4,8,0,2,0.7800000000000005,4,9,116,84,109,37,3.6599999999999833,0.23000000000000007,0.3900000000000002,0.7400000000000004,10,2,2,5,35,5,3,8,3,0,12,7,Lc,0.10457142857142858,0.046,0.13,0.09250000000000001
1,5,9,0,7,1.2100000000000009,2,12,96,90,33,113,1.600000000000001,1.310000000000001,0.5000000000000002,1.7600000000000013,4,4,1,5,18,10,1,15,3,0,13,7,Lc,0.08888888888888889,0.131,0.5000000000000002,0.11733333333333335
1,5,10,0,4,0.46000000000000024,3,9,99,73,103,84,2.2400000000000015,1.0900000000000007,0.3900000000000002,1.260000000000001,5,2,4,5,27,8,6,17,2,0,10,7,Lc,0.08296296296296296,0.13625,0.06499999999999999,0.07411764705882354
1,6,11,0,5,0.7800000000000005,2,11,35,8,32,28,4.809999999999959,0.21000000000000005,0.6700000000000004,0.060000000000000005,6,2,2,1,46,2,5,1,6,0.5,36,7,Lc,0.10456521739130437,0.10499999999999998,0.134,0.060000000000000005
1,6,12,0,3,0.34000000000000014,2,5,38,48,94,86,1.3200000000000007,2.6499999999999875,0.6500000000000004,1.1000000000000008,5,8,4,6,13,25,9,10,5,0,16,7,Lc,0.10153846153846155,0.10600000000000001,0.07222222222222223,0.11000000000000001
1,7,13,1,6,0.5200000000000002,2,4,52,53,58,49,2.4600000000000017,0.37000000000000016,0.36000000000000015,0.5500000000000003,5,2,3,3,22,4,5,11,4,1,48,7,Lc,0.11181818181818183,0.09250000000000001,0.072,0.049999999999999996
1,7,14,1,4,0.9800000000000006,3,9,103,100,94,86,1.9400000000000013,1.0600000000000007,0.6200000000000003,0.5500000000000003,5,5,3,6,17,11,6,8,2,0,10,7,Lc,0.11411764705882355,0.09636363636363637,0.10333333333333335,0.06874999999999999
1,8,15,1,3,0.47000000000000025,4,7,45,38,43,107,1.1400000000000006,1.0400000000000007,0.19000000000000003,1.0400000000000007,7,3,2,2,13,12,2,11,5,0.5,32,7,Lc,0.0876923076923077,0.08666666666666667,0.09500000000000001,0.09454545454545456
1,8,16,1,1,1.6600000000000013,2,21,26,35,3,4,1.9700000000000013,1.7700000000000014,0.5400000000000003,0.6200000000000003,4,2,2,2,23,26,5,10,5,0,22,7,Lc,0.08565217391304349,0.06807692307692308,0.10800000000000001,0.062
1,9,17,1,9,0.11999999999999998,2,2,16,108,67,71,10.269999999999827,0.01,0.01,0.01,19,1,1,1,81,1,1,1,4,0,16,7,Lc,0.12679012345679014,0.01,0.01,0.01
1,9,18,1,6,0.9700000000000006,2,15,58,60,45,115,1.1300000000000006,1.310000000000001,0.18000000000000002,0.36000000000000015,4,2,1,3,17,13,1,5,4,0,15,7,Lc,0.06647058823529411,0.10076923076923078,0.18000000000000002,0.07200000000000001
1,10,19,1,9,0.5200000000000002,2,6,61,63,112,48,1.9600000000000013,0.9300000000000006,0.46000000000000024,0.36000000000000015,5,2,2,2,22,7,6,6,4,0,15,7,Lc,0.08909090909090911,0.13285714285714287,0.07666666666666666,0.06
1,10,20,1,5,0.38000000000000017,2,7,8,5,100,105,0.7500000000000003,1.1200000000000008,1.450000000000001,1.1600000000000008,4,3,4,5,13,15,15,14,6,0,16,7,Lc,0.05769230769230769,0.07466666666666666,0.09666666666666668,0.08285714285714285
1,11,21,1,7,0.36000000000000015,5,5,116,118,61,62,3.7399999999999722,5.039999999999937,0.3900000000000002,0.01,9,9,3,1,36,48,4,1,3,0,12,7,Lc,0.1038888888888889,0.10500000000000002,0.0975,0.01
1,11,22,1,2,0.6400000000000003,3,9,82,83,76,43,2.1900000000000013,0.38000000000000017,0.9000000000000006,0.5300000000000002,7,3,3,2,21,4,7,5,3,0.5,23,7,Lc,0.1042857142857143,0.095,0.1285714285714286,0.10600000000000001
