"","ID","round","phase","OB_1","OB_2","OB_3","OB_4","AS_1","AS_2","AS_3","AS_4","dwmean_1","dwmean_2","dwmean_3","dwmean_4","schemas_1","schemas_2","schemas_3","schemas_4","RT_1","RT_2","RT_3","RT_4","payoff","accuracy","performance","novelty","breakR","afterbreak","type"
"1","H1251",1,1,14,16,16,18,37,22,32,31,0.170789474,0.331695652,0.257181818,0.36028125,1,1,1,1,22.214,10.359,13.493,12.496,3,1,36,0,7,0,"H"
"2","H1251",1,2,18,20,20,17,55,91,85,37,0.257392857,0.23925,0.334325581,0.279526316,8,10,2,8,27.409,29.079,30.311,13.758,2.75,0,11,0,7,0,"H"
"3","H1251",2,3,14,19,10,14,27,42,13,25,0.335428571,0.312,0.278642857,0.277807692,5,10,2,2,17.753,14.82,4.93,8.33,4,0,16,0,7,0,"H"
"4","H1251",2,4,16,15,13,7,31,43,12,10,0.18421875,0.182272727,0.261538462,0.235545455,4,4,1,4,12.636,16.646,4.133,3.402,2.25,0.5,9,0,7,0,"H"
"5","H1251",3,5,20,18,18,11,59,43,43,16,0.339566667,0.305977273,0.268022727,0.292647059,9,8,6,1,22.121,14.913,14.057,6.825153003,3.75,0,15,0,7,0,"H"
"6","H1251",3,6,19,8,19,9,50,11,61,10,0.284784314,0.244416667,0.248596774,0.360272727,5,7,5,5,15.351,4.524,16.255,5.950153003,5.25,0.5,21,0,7,0,"H"
"7","H1251",4,7,13,3,5,11,20,2,4,15,0.171571429,0.291666667,0.2996,0.1579375,2,10,10,8,7.098,1.436,1.763,3.166,3,0,12,0,7,0,"H"
"8","H1251",4,8,14,18,19,20,29,39,33,96,0.247966667,0.2761,0.337264706,0.321010309,7,9,1,9,7.752,12.262,12.278,32.246,4.25,0,17,0,7,0,"H"
"9","H1251",5,9,20,19,11,17,64,34,18,34,0.306953846,0.325371429,0.338315789,0.287971429,6,9,6,9,22.979,12.589,7.753,11.623,5,0,20,0,7,0,"H"
"10","H1251",5,10,18,3,6,9,28,3,10,10,0.280275862,0.2925,0.249636364,0.258090909,2,8,7,2,8.206,2.558,4.29,3.829153003,4,0,16,0,7,0,"H"
"11","H1251",6,11,20,4,7,20,46,5,10,122,0.273510638,0.132666667,0.174454545,0.383658537,10,10,4,2,14.68,1.669,2.34,48.828,3,0,12,0,7,0,"H"
"12","H1251",6,12,14,14,15,20,32,26,32,87,0.247272727,0.297555556,0.281787879,0.324979011,5,1,5,8,8.519,8.688,10.297,32.765153,3.75,0,15,0,7,0,"H"
"13","H1251",7,13,19,5,7,13,55,5,10,18,0.250160714,0.124833333,0.306272727,0.339105263,1,12,11,1,15.491,1.31,3.962,6.949153003,3.75,0,15,1,7,1,"H"
"14","H1251",7,14,6,7,13,7,9,7,19,9,0.3307,0.181375,0.2184,0.2902,13,14,14,14,3.307,2.324,4.664,3.698,2.75,0.5,11,1,7,1,"H"
"15","H1251",8,15,17,5,10,9,32,4,10,9,0.196666667,0.287,0.309181818,0.2465,11,15,15,11,7.629,2.402,4.259,3.133153003,5,0,20,1,7,1,"H"
"16","H1251",8,16,18,6,5,8,46,7,5,10,0.316638298,0.3375,0.449666667,0.320545455,2,2,2,12,15.818,4.042,3.79,4.462,4.25,0.5,17,1,7,1,"H"
"17","H1251",9,17,20,11,9,3,81,24,17,5,0.307621951,0.29956,0.390055556,0.322333333,15,3,15,3,25.647,9.765,8.051,2.901,5.5,0,22,1,7,1,"H"
