ID,round,phase,OB_1,OB_2,OB_3,OB_4,AS_1,AS_2,AS_3,AS_4,dwmean_1,dwmean_2,dwmean_3,dwmean_4,schemas_1,schemas_2,schemas_3,schemas_4,RT_1,RT_2,RT_3,RT_4,payoff,accuracy,performance,novelty,breakR,afterbreak,type
H1041,1,1,20,19,9,3,196,43,29,3,0.60727839,0.758361561,0.314651327,0.918693986,1,2,1,9,153.4097746,37.6741548,10.8276193,4.609829443,4.25,0,17,0,5,0,H
H1041,1,2,20,5,5,3,280,13,7,3,0.330150556,0.286373521,0.7605435,0.814255561,3,6,6,3,97.1265553,5.1322935,7.1604096,3.959062443,4.25,0.5,17,0,5,0,H
H1041,2,3,20,7,5,20,182,15,8,51,0.613264586,0.425336825,0.459359611,0.720254047,5,5,5,6,115.5026064,7.6594381,5.1012917,38.20225334,5.5,0.5,22,0,5,0,H
H1041,2,4,20,5,11,15,72,5,14,21,0.517372059,0.5616988,0.404689813,0.585541947,10,8,9,10,39.967286,3.9002231,6.4293677,13.41095314,6,1,72,0,5,0,H
H1041,3,5,20,14,8,4,162,42,14,6,0.63395037,0.289853788,0.827847347,0.234825078,1,9,1,9,103.8189381,13.5247735,13.7907888,3.125860343,3,0,12,0,5,0,H
H1041,3,6,20,7,5,13,129,12,10,13,0.745942665,0.469180677,0.499301291,0.550073574,3,8,8,3,98.2656205,7.2074122,7.0504033,8.886097743,3.5,0,14,0,5,0,H
H1041,4,7,20,1,9,14,144,0,9,29,0.498663006,2.8381624,0.3198183,0.398322783,3,2,8,3,73.5542071,3.4941998,3.7912169,13.86017864,3,0,12,0,5,0,H
H1041,4,8,20,6,9,12,102,10,11,18,0.765169979,0.411296245,0.679955558,0.356967784,5,4,1,6,79.6695568,5.2883025,9.5945488,8.232817643,4.25,0,17,0,5,0,H
H1041,5,9,20,9,6,4,64,13,9,3,0.937192065,0.893693971,0.87665014,0.867814386,3,10,10,15,60.9174842,13.5877772,9.9215675,4.314305743,3.5,0,14,1,5,1,H
H1041,5,10,20,6,3,15,117,6,3,20,0.579846725,0.376592957,0.647287,0.88445595,7,14,14,13,69.0929519,2.9951713,2.9951713,19.27561504,4.75,0,19,1,5,1,H
H1041,6,11,20,4,17,12,66,4,33,16,0.658231679,0.47482716,0.628624191,0.6194472,13,13,12,15,44.8655662,3.4641981,22.1202652,12.12151304,4.5,0,18,1,5,1,H
H1041,6,12,20,2,20,8,88,2,56,12,0.739682757,0.832047567,0.760289102,0.570234273,10,6,3,11,66.7838198,3.1671811,44.0255181,9.173146343,3.75,0,15,1,5,1,H
H1041,7,13,20,5,16,15,205,6,66,120,0.276030351,0.336447814,0.355303903,0.37873634,14,4,14,15,57.7203014,3.0571749,24.320391,46.20111854,4.75,0.5,19,1,5,1,H
H1041,7,14,20,6,6,4,102,8,9,6,0.371215407,0.345019744,0.49612838,0.316446671,11,6,7,7,39.1562396,3.6662097,6.2403569,3.101469543,3.25,0,13,1,5,1,H
H1041,8,15,20,14,10,7,130,18,11,9,0.680680153,0.445814974,0.557698567,0.430740374,7,7,15,10,89.2001019,9.5325452,7.4554265,5.509472543,4,0,16,1,5,1,H
H1041,8,16,20,4,16,3,58,6,28,3,0.607594076,1.161209271,0.515891572,0.553101836,12,13,13,6,36.3790808,8.8925086,16.5519467,3.241466243,5,0,20,1,5,1,H
H1041,9,17,18,14,8,4,32,13,11,4,0.727041582,1.320432664,0.724041408,0.42162412,14,6,13,12,24.4914008,19.8121332,9.4535407,3.278460243,4.25,0,17,1,5,1,H
H1041,9,18,20,6,8,3,42,7,10,2,0.606988205,0.46590165,0.557395518,0.696632548,4,10,15,3,26.4275116,4.6482659,7.0354024,3.352969843,3.75,0,15,1,5,1,H
H1041,10,19,20,9,6,2,51,10,8,2,0.70590576,0.343110536,0.206234022,1.096396033,4,3,3,3,36.7070995,4.5402597,2.901166,4.156454543,4.75,0,19,1,5,1,H
H1041,10,20,12,9,16,16,24,14,42,23,0.625875796,0.20174488,0.415046995,1.142452606,6,13,11,6,15.6468949,3.6342079,17.8470208,28.12090264,3.25,0.5,13,1,5,1,H
H1041,11,21,20,12,13,14,59,13,28,25,0.79297869,0.720826943,0.422300017,0.341942635,12,10,10,6,48.8587946,11.0916344,13.9307968,9.733425043,4.5,0,18,1,5,1,H
