,pre_Chagall_F,pre_Michelangelo_F,pre_Munkacsy_F,pre_Dali_F,pre_VanGogh_F,pre_Botticelli_F,pre_Ciurlionis_F,pre_Picasso_F,pre_Monet_F,pre_Goya_F,pre_DaVinci_F,pre_Munch_F,pre_OKeeffe_F,pre_Velazquez_F,pre_Hokusai_F
1427,0,2,0,2,3,1,0,2,2,1,1,0,0,1,0
1279,1,2,0,2,2,2,0,2,2,2,2,1,0,0,0
1755,0,0,0,1,1,0,0,1,0,0,2,0,0,0,0
1906,1,1,0,3,3,2,3,3,2,2,2,2,0,0,0
1054,0,1,0,1,1,0,0,1,0,0,1,0,0,0,0
1709,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0
1522,2,1,0,2,2,1,3,2,2,1,1,3,1,0,1
1390,0,1,0,2,2,2,0,2,2,1,1,1,0,0,2
1975,1,0,1,0,2,0,0,3,2,1,2,0,0,0,0
1573,0,2,0,2,3,0,0,2,3,0,2,0,0,0,0
1860,0,1,0,0,2,0,0,2,1,0,0,0,0,0,0
1487,0,2,0,2,2,2,0,2,3,0,2,0,0,0,0
1323,0,2,0,1,2,0,0,2,0,0,2,0,0,0,0
1597,0,1,0,1,1,0,0,1,1,0,1,0,0,0,0
1073,0,2,0,3,3,1,0,3,2,0,2,1,0,0,0
1482,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1379,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0
1393,0,2,0,2,3,0,0,3,3,0,3,0,2,2,0
1466,0,1,0,1,2,0,0,2,0,0,1,0,0,0,0
1397,0,1,0,1,2,0,0,2,2,0,1,1,1,0,0
1571,2,2,1,3,3,2,1,3,3,3,3,2,3,1,0
1948,0,1,0,1,2,1,0,2,2,0,2,0,0,0,1
1307,0,1,0,0,2,1,0,3,2,2,2,0,0,0,0
1608,0,1,0,1,1,1,0,1,1,1,1,1,0,0,0
1471,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
1648,0,2,0,0,2,0,0,1,0,0,1,0,0,1,0
1134,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
1816,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1342,0,0,0,2,3,0,3,0,0,0,0,0,0,0,0
1735,2,2,2,2,3,2,0,2,3,2,2,2,0,2,2
1515,2,1,0,2,2,1,0,2,2,1,1,1,2,0,0
1652,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1247,0,1,0,1,1,1,0,2,2,1,2,0,0,1,0
1437,1,1,0,2,2,2,0,1,1,1,1,1,0,1,0
1540,0,1,0,0,1,0,0,1,0,0,1,0,0,0,0
1664,0,1,0,1,3,2,0,2,2,0,2,0,1,1,0
1643,0,0,0,0,0,0,0,1,0,0,3,0,0,0,0
1183,0,0,0,0,2,0,0,2,2,0,2,0,0,0,1
1086,2,2,0,2,2,2,0,2,2,2,2,2,0,1,0
1741,1,1,0,1,1,1,0,1,2,0,2,1,0,0,0
1387,0,1,0,0,2,0,0,2,0,0,2,0,0,0,0
1998,0,0,0,0,2,0,0,2,0,0,0,0,0,0,0
1221,0,0,0,0,1,0,0,1,1,0,2,0,0,0,0
1278,0,1,0,0,1,0,0,1,1,0,1,0,0,0,0
1426,1,0,0,0,2,0,0,2,2,0,2,0,0,0,0
1859,0,2,0,3,3,1,0,3,2,2,2,1,2,0,2
1847,0,1,0,1,1,0,0,1,1,0,1,0,0,0,0
1271,0,1,0,0,1,0,0,1,0,0,2,0,0,0,0
1368,0,3,0,3,3,2,0,2,2,0,3,2,0,1,0
1626,0,1,0,2,1,0,0,1,1,1,1,0,1,0,0
1133,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0
1603,0,3,0,2,3,2,0,3,3,3,3,3,0,0,0
1253,0,2,0,2,2,1,0,2,1,0,2,1,0,1,0
1408,0,1,0,1,2,1,0,2,2,0,2,1,0,0,0
1097,2,1,0,2,2,2,2,1,1,1,1,1,1,1,2
1026,0,2,1,2,3,1,0,3,3,2,2,0,1,0,1
1776,0,2,0,2,3,0,0,1,2,0,2,0,0,0,0
1491,0,0,0,0,1,0,0,1,1,0,1,0,0,0,0
1548,0,0,0,0,3,0,0,3,3,0,3,1,0,0,0
1680,1,2,0,2,2,1,0,3,2,1,2,3,0,0,0
