ID,Abraham Lincoln,Albert Einstein,Antoine de Saint-Exupery,Douglas Adams,Homer,Jane Austen,Joanne K Rowling,Karl Marx,Mahatma Gandhi,William Shakespeare,Voltaire,Leo Tolstoy,Ernest Hemingway,Benjamin Franklin,Confucius
1434,0,1,0,0,2,0,1,1,0,2,1,0,0,0,0
1459,0,1,0,0,1,1,2,1,1,2,0,0,0,0,1
1436,0,0,0,0,0,2,2,0,0,2,0,0,2,2,3
1243,1,1,0,0,0,1,1,1,1,2,0,0,0,0,0
1357,1,1,0,0,1,1,1,2,1,3,2,1,1,1,1
1319,1,1,0,0,0,0,0,0,2,2,0,0,0,1,0
1107,0,1,0,0,0,1,1,1,1,2,1,0,0,1,0
1284,1,2,0,1,0,0,2,2,2,1,0,0,1,0,0
1581,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0
1040,0,0,0,0,0,0,2,0,0,2,0,0,0,0,0
1127,,,,,,,,,,,,,,,
1888,,,,,,,,,,,,,,,
1595,0,2,0,0,0,0,0,1,1,2,0,0,0,0,0
1638,2,2,2,2,2,2,2,2,2,2,0,2,2,2,2
1177,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
1874,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0
1455,0,1,0,0,0,0,1,0,1,1,0,0,0,0,0
1041,1,1,0,0,0,0,1,0,1,1,0,0,1,1,1
1280,0,1,0,0,1,1,1,1,1,2,0,0,0,0,0
1168,0,1,0,0,0,0,2,1,0,2,0,0,2,0,0
1656,1,2,0,0,2,1,1,1,1,2,1,2,1,1,1
1175,0,1,0,0,2,0,1,1,1,1,0,0,0,0,0
1050,2,2,0,1,1,2,3,2,1,2,1,1,2,2,1
1818,1,1,0,0,0,0,0,0,0,1,0,0,0,1,0
1762,1,2,0,1,0,2,2,0,2,1,0,0,0,1,1
1787,1,1,0,0,0,1,2,0,2,2,0,0,0,0,0
1815,1,1,0,0,1,1,3,1,1,3,0,1,1,0,0
1402,0,2,0,0,1,1,1,1,1,1,1,0,1,1,2
1620,1,2,0,0,1,1,2,1,0,2,0,1,1,2,1
1783,2,2,0,0,1,1,1,1,1,1,1,0,1,0,0
1494,1,0,0,1,1,1,0,1,0,2,0,0,1,1,3
1967,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
1819,1,1,0,0,0,0,1,3,2,3,1,1,0,1,0
1729,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0
1364,1,2,0,0,0,0,0,0,2,2,0,0,0,1,3
1018,1,2,0,0,1,2,3,1,1,2,0,1,0,0,0
1830,2,3,0,0,0,0,2,3,3,3,0,1,0,3,2
1910,1,2,2,0,1,1,2,2,2,2,0,0,1,0,2
1800,0,0,0,0,1,0,1,1,1,0,0,0,0,0,0
1204,0,0,2,0,0,0,1,1,1,0,1,0,0,0,1
1255,1,1,0,0,1,1,1,2,1,2,0,0,0,1,0
1202,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1
1834,0,1,0,0,0,1,1,1,1,1,0,0,0,0,1
1315,2,2,1,1,1,1,1,0,1,1,0,0,0,1,2
1417,0,1,0,0,0,0,1,1,1,1,1,0,0,0,1
1794,1,1,0,0,2,2,0,2,1,2,3,0,1,1,1
1654,1,1,0,0,2,1,2,1,1,1,1,2,2,1,1
1952,0,1,0,1,1,0,3,0,1,1,0,1,0,0,0
1344,0,1,0,0,0,0,0,0,0,2,0,0,0,0,1
1015,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0
1533,0,1,0,0,0,0,0,0,1,1,0,0,0,0,1
1798,1,1,0,0,0,1,1,0,0,1,0,0,0,0,2
1531,0,2,0,0,1,0,3,0,0,1,0,0,0,0,0
1453,2,2,0,3,2,2,3,2,2,2,2,1,1,0,0
1753,0,1,0,0,0,0,1,1,1,1,0,0,0,0,0
1813,0,1,0,0,1,1,1,0,1,1,0,1,0,0,0
1949,0,0,0,0,0,0,2,1,0,2,0,0,0,0,0
1610,1,2,0,0,0,0,0,1,1,1,1,0,1,0,3
1256,0,1,0,0,0,0,2,0,1,1,0,0,0,0,0
1025,1,1,0,0,0,1,0,0,1,1,0,0,0,1,0
1642,2,2,0,0,0,2,0,2,1,2,0,0,2,2,3
1213,1,2,0,0,0,0,0,0,2,1,1,1,0,0,1
1156,0,0,0,0,1,1,2,0,0,1,0,0,0,0,0
1448,1,1,1,1,2,2,3,1,0,3,1,1,1,2,1
1645,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0
1612,2,1,0,0,2,3,3,1,1,3,0,0,0,0,0
1433,1,2,2,0,3,0,3,3,2,3,1,2,1,2,2
1039,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
1748,0,1,1,0,0,0,1,0,1,1,0,0,0,0,0
1715,1,1,0,0,0,1,2,0,2,1,0,1,1,1,1
1088,1,1,0,0,0,0,1,1,1,1,0,0,0,1,1
1166,1,1,2,0,1,1,1,1,1,1,1,1,1,1,3
1443,1,1,0,0,2,0,1,0,1,1,0,0,0,1,0
1033,0,1,1,0,0,1,2,0,1,1,0,0,0,0,0
1658,1,1,0,0,1,1,1,1,1,1,0,0,1,1,2
