filename,Vessel_length
001.jpg,28979
002.jpg,25110
003.jpg,11423
004.jpg,29067
005.jpg,26293
006.jpg,9565
007.jpg,24557
008.jpg,30906
009.jpg,30224
010.jpg,20725
011.jpg,18349
012.jpg,30493
013.jpg,30007
014.jpg,25239
015.jpg,27723
016.jpg,31117
017.jpg,23177
018.jpg,13148
019.jpg,19381
020.jpg,22379
021.jpg,14793
022.jpg,21300
023.jpg,17142
024.jpg,18766
025.jpg,22344
026.jpg,11720
027.jpg,11388
028.jpg,26819
029.jpg,13403
030.jpg,9896
031.jpg,19462
032.jpg,15987
033.jpg,23839
034.jpg,20004
035.jpg,13388
036.jpg,5583
037.jpg,10616
038.jpg,18953
039.jpg,23448
040.jpg,19550
041.jpg,6103
042.jpg,22721
043.jpg,25637
044.jpg,23946
045.jpg,16803
046.jpg,18036
047.jpg,25256
048.jpg,17868
049.jpg,21776
050.jpg,29520
051.jpg,27402
052.jpg,27103
053.jpg,24622
054.jpg,13000
055.jpg,22857
056.jpg,25302
057.jpg,27057
058.jpg,25784
059.jpg,28055
060.jpg,30049
061.jpg,22638
062.jpg,22863
063.jpg,19486
064.jpg,21344
065.jpg,24001
066.jpg,22018
067.jpg,23373
068.jpg,20040
069.jpg,22997
070.jpg,22885
071.jpg,14138
072.jpg,10387
073.jpg,26227
074.jpg,25780
075.jpg,22467
076.jpg,13103
077.jpg,19190
078.jpg,17416
079.jpg,2716
080.jpg,12045
081.jpg,23270
082.jpg,14144
083.jpg,15439
084.jpg,12964
085.jpg,11905
086.jpg,15326
087.jpg,16673
088.jpg,20473
089.jpg,24019
090.jpg,24322
091.jpg,5877
092.jpg,7901
093.jpg,14773
094.jpg,16519
095.jpg,26635
096.jpg,21689
097.jpg,7060
098.jpg,19557
099.jpg,21228
100.jpg,23683
101.jpg,25260
102.jpg,28973
103.jpg,28962
104.jpg,10738
105.jpg,9109
106.jpg,29240
107.jpg,30049
108.jpg,31158
109.jpg,31346
110.jpg,18212
111.jpg,16668
112.jpg,21560
113.jpg,22042
114.jpg,25112
115.jpg,26410
116.jpg,20584
117.jpg,22304
118.jpg,19976
119.jpg,23847
120.jpg,21880
121.jpg,30455
122.jpg,26099
123.jpg,24137
124.jpg,27537
125.jpg,27886
126.jpg,21014
127.jpg,19673
128.jpg,20458
129.jpg,18856
130.jpg,22208
131.jpg,26925
132.jpg,24868
133.jpg,26299
134.jpg,26336
135.jpg,23794
136.jpg,21907
137.jpg,15180
138.jpg,1062
139.jpg,25759
140.jpg,27820
141.jpg,24083
142.jpg,23090
143.jpg,20443
144.jpg,28690
145.jpg,30986
146.jpg,15637
147.jpg,12341
148.jpg,18872
149.jpg,14084
150.jpg,29241
151.jpg,28329
152.jpg,31477
153.jpg,25820
154.jpg,26467
155.jpg,25946
156.jpg,22539
157.jpg,24846
158.jpg,21263
159.jpg,21901
160.jpg,23988
161.jpg,26848
162.jpg,25043
163.jpg,20152
164.jpg,20665
165.jpg,17677
166.jpg,15349
167.jpg,18970
168.jpg,23994
169.jpg,18889
170.jpg,18134
171.jpg,14549
172.jpg,20533
173.jpg,17872
174.jpg,14834
175.jpg,6167
176.jpg,10723
177.jpg,24903
178.jpg,23994
179.jpg,21561
180.jpg,10626
181.jpg,9310
182.jpg,3776
183.jpg,13392
184.jpg,25166
185.jpg,27735
186.jpg,20364
187.jpg,21327
188.jpg,19225
189.jpg,19546
190.jpg,24133
