Proteins	Positions.within.proteins	Leading.proteins	Protein	Reporter.intensity.0	Reporter.intensity.1	Reporter.intensity.2	Reporter.intensity.3	Reporter.intensity.4	Reporter.intensity.5	Reporter.intensity.6	Reporter.intensity.7	Reporter.intensity.8
P60174	58	P60174	P60174	17.8223819095492	17.9136785921913	17.9394944683761	17.8095713759067	17.9465441947463	17.9680514868667	17.9709922303278	18.0085630939079	17.9635940215679
P08238;Q58FF8	255;177	P08238	P08238	17.8011533962989	17.8618141711667	17.9366016959776	17.8850548687408	17.9007586281187	17.9954139603071	17.9925922380095	18.0182598907536	18.0573606798879
Q15424	604	Q15424	Q15424	17.7009874152841	17.8343447910639	17.5691733026262	17.7600932784642	17.8212715429754	17.6857703960572	17.6844977261478	17.9865754080483	17.8525133640527
P16070	706	P16070	P16070	17.2540495285526	17.2212214791267	17.3327966193661	17.215195178035	17.3807358121453	17.3486969159236	17.4138966311512	17.4370252426701	17.393102779941
O00567	520	O00567	O00567	17.1826831722596	17.0703434986935	17.1499789581384	16.9917503653618	17.0357886042616	17.085749322714	17.1236724419562	17.1482824556848	17.0349596690093
P36871	117	P36871	P36871	17.1625511943205	17.2201047625681	17.2004769771793	17.0734542151757	17.2037501810395	17.280912823469	17.3037912325316	17.3310974456793	17.2669380621969
P05387;P05386	105;104	P05387	P05387	17.1201650238348	17.1037265363099	17.0388950578644	17.1654205563897	17.2604918911725	17.3941223149287	17.3077699448907	17.4135164467278	17.3845238729165
P06400	807	P06400	P06400	16.9491577402009	16.8278774249668	16.7350265347569	16.4449163342995	16.3745205728821	16.2001866521957	16.2555084665714	16.1453633006434	16.2246269534106
P51858	133	P51858	P51858	16.9363353479639	16.9992150020463	17.0633783418039	17.0259938312586	17.0708144861971	17.1251976650023	17.1925573818073	17.1856717193404	17.1829354867165
Q04637	1231	Q04637	Q04637	16.8225932861391	16.7030116804341	16.6473768316157	16.4548435760079	16.5392137681381	16.4227327720328	16.3733994406815	16.348481041523	16.486672029914
P06748	125	P06748	P06748	16.8224826781937	16.9567146241133	17.0318228343374	17.0316591247482	17.1091899715585	17.1044045631773	16.8239409133877	17.168558692042	16.7482144164667
P51858	132	P51858	P51858	16.8117131998551	16.8612111761451	16.9288772808974	16.8845778157118	16.9447119276296	17.0042472525067	17.0590503490941	17.0724033408165	17.0631387523111
P61978	379	P61978	P61978	16.8084777863474	16.6719033887506	16.3511999920517	15.9879754549414	15.7917129569464	15.6363727651558	14.6335424008076	14.5785724340753	14.5216263246903
P06748	70	P06748	P06748	16.7903824980309	16.8264105131179	16.7842534771446	16.8201906355579	16.8932619501108	16.9451333095772	16.796996136055	16.9718037520833	16.8809221424362
O60271	733	O60271	O60271	16.7569731620761	16.8204050949506	16.9089212039935	16.872243990265	16.9863206536417	16.9562001832372	17.0891122979617	17.0749836841421	17.061809298717
Q15424	601	Q15424	Q15424	16.7063215490417	16.9370259598539	16.5637506471349	16.7422026335284	17.0060275611598	16.7601012066758	16.705680532233	17.1175321650722	16.8387813118224
P05387;P05386	102;101	P05387	P05387	16.6935572602061	16.6816716273886	16.6310899541279	16.7638340842015	16.809281825537	16.8779907691496	16.8800887320627	16.8823176889367	16.9212005900651
O60716	349	O60716	O60716	16.6710057809839	16.6888201089161	16.5944287506037	16.7746593288417	16.8267211444332	16.5260091645462	16.8154606984758	16.8048991284703	16.6715259406728
O60841	137	O60841	O60841	16.6541996365183	16.7089944467256	16.6973990002953	16.7156469298307	16.7630570752987	16.8803166289784	16.7888507139023	16.8713499794167	16.8021775198212
Q8NHW5;P05388	307;307	Q8NHW5	Q8NHW5	16.6212605998306	16.6484352585986	16.5252400823129	16.7610822426106	16.7955565927104	16.9720117605223	16.7766705162676	16.9304879008698	16.9269208431177
O75367	129	O75367	O75367	16.6175680146421	16.4167727082188	16.379561858369	16.2075993353841	16.2755433272006	16.2283279974033	15.9702674602054	15.9913818181307	15.8912840064732
O60716	346	O60716	O60716	16.5322217825735	16.5305230684683	16.4622064602612	16.6495899372051	16.704426809645	16.3897217974005	16.7069910282402	16.6861543724982	16.5375722079935
P29692	162	P29692	P29692	16.5204056118013	16.5586988526364	16.5857908134283	16.5596990394479	16.6917024726885	16.6966409321505	16.5939544020736	16.7009863389885	16.5562833720434
P35659	301	P35659	P35659	16.4783400268974	16.4438435586457	16.4187276700206	16.3931628824104	16.4934147626667	16.465935812554	16.5628516568499	16.5820821406446	16.5494352341813
P35659	303	P35659	P35659	16.4783400268974	16.4438435586457	16.4187276700206	16.3931628824104	16.4934147626667	16.465935812554	16.5628516568499	16.5820821406446	16.5494352341813
P35659	306	P35659	P35659	16.4783400268974	16.4438435586457	16.4187276700206	16.3931628824104	16.4934147626667	16.465935812554	16.5628516568499	16.5820821406446	16.5494352341813
P35659	307	P35659	P35659	16.4783400268974	16.4438435586457	16.4187276700206	16.3931628824104	16.4934147626667	16.465935812554	16.5628516568499	16.5820821406446	16.5494352341813
O76021	361	O76021	O76021	16.4071067379616	16.1601606952946	16.2254025773834	16.0873590765359	16.1684517224367	16.0904421421348	16.3107184991636	16.1716195905952	16.2183920718761
Q15637	80	Q15637	Q15637	16.3977236805431	16.3115348634712	16.3743089178877	16.421854252018	16.6157746449977	16.5184840959646	16.4280925313154	16.6011238581102	16.3935898768006
Q15637	82	Q15637	Q15637	16.3977236805431	16.3115348634712	16.3743089178877	16.421854252018	16.6157746449977	16.5184840959646	16.4280925313154	16.6011238581102	16.3935898768006
O60841	135	O60841	O60841	16.3887274936662	16.4410505899075	16.4466808430247	16.4669402294024	16.4587446926866	16.5092120727534	16.5010997071834	16.5451520771331	16.464232916107
O00151	90	O00151	O00151	16.3822735582289	16.171143140008	15.8637937070636	15.4619095093154	15.1505713166223	14.9803815076282	14.6678644354897	14.4322247648998	14.7119072689262
Q9UK76	54	Q9UK76	Q9UK76	16.3786671650951	15.7858641843265	15.5346234579255	15.0911567738068	14.6916729154896	14.4283872412568	14.4025856433504	13.8485151826763	14.3888181830419
P06400	811	P06400	P06400	16.3553702840495	16.1686948046984	16.0584592395543	15.8521000413416	15.4957311438188	14.4749434241804	15.1699575034257	14.4991426642489	14.8339476464456
O60271	732	O60271	O60271	16.3495789180672	16.4299209259335	16.528923520588	16.4917506351368	16.5874085817922	16.5508129730774	16.7472917732571	16.7097298568938	16.7195754430851
P62995	97	P62995	P62995	16.2904454766052	16.5866670828334	16.6192040884564	16.5278295525637	16.6611982369602	16.7722804898488	16.5446283982438	16.8900312549186	16.8836608823065
Q9H4M9	456	Q9H4M9	Q9H4M9	16.2743619719415	16.2779964759903	16.2052050674854	15.8897548786645	16.0625591950755	16.0218197555574	15.6634507073014	15.9306110132257	15.8206696994575
P62995	95	P62995	P62995	16.2730189473373	16.5622724128941	16.5887703707389	16.5005921501435	16.6389472883798	16.7452684465288	16.5255185427571	16.8615442490194	16.8639636126161
Q13177	141	Q13177	Q13177	16.2703940151761	16.4601104422962	16.3274091108688	16.3727407926335	16.3492639327629	16.3911303254426	16.4999963735707	16.5513576680107	16.594230849981
P18669;Q8N0Y7	118;118	P18669	P18669	16.2562640087123	16.2801055760022	16.2957714399626	16.0840074653649	16.3035362081313	16.2885748148732	16.2213242980943	16.2802783221261	16.2672809225787
P29966	170	P29966	P29966	16.2306026333566	16.7609836993236	16.4973179344981	16.4786651274908	16.5770233795825	16.2900671704761	16.1171390187628	16.2597850354149	16.0530854512588
Q14155;Q15052	518;488	Q14155;Q15052	Q14155	16.2224438786035	16.3197773174918	16.0954617023136	16.1848208183618	16.2681038419764	16.2858071103956	16.3714668661468	16.1831861277555	16.4070540357572
P29966	167	P29966	P29966	16.1692834288504	16.089354949869	15.4961783996521	15.1645504933709	14.901559775752	14.3656041923139	14.5644308047361	13.758708905044	14.3635360176486
