Proteins	Positions.within.proteins	Leading.proteins	Protein	Reporter.intensity.0	Reporter.intensity.1	Reporter.intensity.2	Reporter.intensity.3	Reporter.intensity.4	Reporter.intensity.5	Reporter.intensity.6	Reporter.intensity.7	Reporter.intensity.8
P60174	58	P60174	P60174	17.9927502886458	17.9351420237713	17.9858752829346	17.7955704335211	17.9500318316569	17.9354298202655	18.0125808942358	17.9684868050419	17.7659723657135
P08238;Q58FF8	255;177	P08238	P08238	17.9715211014753	17.8832757134971	17.9829824372452	17.8710509347089	17.9042465206289	17.9627943589759	18.0341863919979	17.9781853490983	17.8597531541292
Q15424	604	Q15424	Q15424	17.8713518033135	17.8558053049207	17.615543431295	17.7460943837055	17.8247598989541	17.6531249720404	17.7260052311286	17.9464951135623	17.6548737359105
P16070	706	P16070	P16070	17.4243959572467	17.2426531146385	17.3791583447163	17.2012241552803	17.38422725562	17.3160163060738	17.4553111645813	17.3968221590404	17.1953722074027
O00567	520	O00567	O00567	17.3530261822505	17.0917659385168	17.1963331712968	16.977794185533	17.0392832169523	17.0530349492754	17.1649658334261	17.1079934760513	16.8371351252961
P36871	117	P36871	P36871	17.3328932089379	17.2415363334906	17.2468333613957	17.0594923396277	17.2072431559367	17.2482240896685	17.3451626517334	17.2908648282164	17.0691770125346
P05387;P05386	105;104	P05387	P05387	17.2905048968128	17.1251510944058	17.0852442191214	17.1514526439657	17.2639843544898	17.3614469395705	17.3491429800472	17.3733069945749	17.1867913114113
P06400	807	P06400	P06400	17.1194883043296	16.8492829163158	16.7813597135247	16.4310078301105	16.3780238509255	16.1673005300288	16.2962530512524	16.1045987535644	16.0264802163496
P51858	133	P51858	P51858	17.1066651686143	17.0206327616577	17.109728650175	17.0120352249374	17.0743087414403	17.0924887575053	17.2338817705093	17.1453948551655	16.9851526151406
Q04637	1231	Q04637	Q04637	16.9929162142003	16.7244072671023	16.6937047392253	16.4409340355339	16.542714503652	16.3899001727731	16.4142392789983	16.3078411689456	16.2886498266887
P06748	125	P06748	P06748	16.9928055992843	16.9781294750819	17.0781716605997	17.0177001225072	17.1126838450057	17.0716927932332	16.8650807793023	17.1282763215996	16.5502958727242
P51858	132	P51858	P51858	16.9820354396748	16.8826191698104	16.9752210402702	16.8706296132229	16.948207511438	16.9715211014753	17.1003132841501	17.0320887866703	16.865322477249
P61978	379	P61978	P61978	16.9787998205013	16.6932963715174	16.3975075208978	15.9741232607605	15.7952279660287	15.6033075909964	14.6717621863446	14.5359435862982	14.32178719982
P06748	70	P06748	P06748	16.9607033733772	16.8478158930142	16.8305894789036	16.8062475185316	16.896758110225	16.9123981900748	16.8381205727667	16.931453149104	16.6830494296222
O60271	733	O60271	O60271	16.9272918593452	16.8418100173848	16.9552639386119	16.8582967444412	16.9898157861788	16.9234667708272	17.130389571087	17.0346700219631	16.8639926371708
Q15424	601	Q15424	Q15424	16.876636846423	16.9584394340489	16.6100732180408	16.7282659879811	17.0095224844635	16.7273355171066	16.7467504822392	17.0772329831498	16.6408944999073
P05387;P05386	102;101	P05387	P05387	16.863871681812	16.7030654338559	16.6774168464853	16.7498956084717	16.8127789716277	16.8452450072001	16.9212598378437	16.841932836526	16.7233409736015
O60716	349	O60716	O60716	16.8413186362353	16.71021451465	16.6407533152871	16.7607199474656	16.8302180810277	16.4931987334837	16.8565957394798	16.764482881306	16.4735789248608
O60841	137	O60841	O60841	16.8245113084407	16.7303905277717	16.7437299553572	16.7017125689397	16.7665547890901	16.8475712440326	16.8299704293164	16.8309607811939	16.6042781225102
Q8NHW5;P05388	307;307	Q8NHW5	Q8NHW5	16.7915699121269	16.6698262394834	16.5715600896357	16.7471439981867	16.7990539054705	16.939280764475	16.8177831217745	16.8901217487374	16.7290630570847
O75367	129	O75367	O75367	16.7878770590416	16.4381420777437	16.4258715247789	16.1937178507336	16.2790482788788	16.1954491080739	16.0107466265153	15.9505103337004	15.692942359312
O60716	346	O60716	O60716	16.7025244401153	16.5519034832086	16.5085221210169	16.6356614451512	16.7079252701602	16.3568817709914	16.7480617848571	16.6456865745937	16.3395716783847
P29692	162	P29692	P29692	16.6907073549287	16.5800818712975	16.6321148210117	16.5457789778608	16.6952010993094	16.663863821774	16.6349528174829	16.6605252144619	16.3582906194225
P35659	301	P35659	P35659	16.6486384532343	16.4652156362726	16.4650402200175	16.3792598976651	16.4969161763431	16.4331126802639	16.603829151772	16.5415655360541	16.3514396469448
P35659	303	P35659	P35659	16.6486384532343	16.4652156362726	16.4650402200175	16.3792598976651	16.4969161763431	16.4331126802639	16.603829151772	16.5415655360541	16.3514396469448
P35659	306	P35659	P35659	16.6486384532343	16.4652156362726	16.4650402200175	16.3792598976651	16.4969161763431	16.4331126802639	16.603829151772	16.5415655360541	16.3514396469448
P35659	307	P35659	P35659	16.6486384532343	16.4652156362726	16.4650402200175	16.3792598976651	16.4969161763431	16.4331126802639	16.603829151772	16.5415655360541	16.3514396469448
O76021	361	O76021	O76021	16.5773993223544	16.1815017046185	16.2717001018146	16.0734930745765	16.1719586190771	16.057526425951	16.3515086630324	16.1308721652206	16.0202420873652
Q15637	80	Q15637	Q15637	16.5680154736921	16.3328932089379	16.420618191561	16.4079481829348	16.6192742938341	16.4856721027172	16.4689739838331	16.5606164487771	16.1955260046462
Q15637	82	Q15637	Q15637	16.5680154736921	16.3328932089379	16.420618191561	16.4079481829348	16.6192742938341	16.4856721027172	16.4689739838331	16.5606164487771	16.1955260046462
